id_municipio,nome_municipio,latitude,longitude,ano,sigla_uf,bioma,data_hora,Precipitação Total < 10mm,Pressão Atmosférica entre 1015 e 1020 hPa,Temperatura Bulbo seco ACIMA DE 30°C,Temperatura Pt Orvalho abaixo de 10°C,Vento com velocidade maior que 30Km/h,Rajada max > 10 m/s,Umidade relativa do ar < 30%,Radiação Solar acima de  4 kWh/m²,Fogo
3501707,Américo Brasiliense,-21729.0,-48131.0,2006,SP,Cerrado,6/1/2006 16:59,1,1,1,1,1,1,1,1,1
3501707,Américo Brasiliense,-21705.0,-48041.0,2010,SP,Cerrado,8/26/2010 16:43,1,1,1,1,1,1,1,1,1
3501707,Américo Brasiliense,-21728.0,-48067.0,2019,SP,Cerrado,9/14/2019 17:15,1,1,1,1,1,1,1,1,1
3501707,Américo Brasiliense,-21.72864,-48.04252,2021,SP,Cerrado,9/5/2021 17:07,1,1,1,1,1,1,1,1,1
3501707,Américo Brasiliense,-21.73184,-48.06311,2021,SP,Cerrado,9/5/2021 17:07,1,1,1,1,1,1,1,1,1
3501707,Américo Brasiliense,-21.73949,-48.05113,2021,SP,Cerrado,9/5/2021 17:07,1,1,1,1,1,1,1,1,1
3501707,Américo Brasiliense,-21719.0,-48099.0,2005,SP,Cerrado,7/14/2005 17:10,1,1,1,1,1,1,1,1,1
3501707,Américo Brasiliense,-21709.0,-48052.0,2012,SP,Cerrado,9/19/2012 17:13,1,1,1,1,1,1,1,1,1
3501707,Américo Brasiliense,-21732.0,-47.97,2017,SP,Cerrado,9/10/2017 17:07,1,1,1,1,1,1,1,1,1
3501707,Américo Brasiliense,-21.73,-47.96,2017,SP,Cerrado,9/10/2017 17:07,1,1,1,1,1,1,1,1,1
3501707,Américo Brasiliense,-21719.0,-47951.0,2017,SP,Cerrado,9/10/2017 17:07,1,1,1,1,1,1,1,1,1
3501707,Américo Brasiliense,-21.71,-48004.0,2020,SP,Cerrado,10/1/2020 16:35,1,1,1,1,1,1,1,1,1
3501707,Américo Brasiliense,-21701.0,-47937.0,2009,SP,Cerrado,1/9/2009 16:59,1,1,1,1,1,1,1,1,1
3501707,Américo Brasiliense,-21728.0,-48135.0,2010,SP,Cerrado,8/1/2010 16:49,1,1,1,1,1,1,1,1,1
3501707,Américo Brasiliense,-21744.0,-48102.0,2016,SP,Cerrado,5/6/2016 16:43,1,1,1,1,1,1,1,1,1
3501707,Américo Brasiliense,-21746.0,-48096.0,2016,SP,Cerrado,5/6/2016 16:43,1,1,1,1,1,1,1,1,1
3501707,Américo Brasiliense,-21741.0,-47969.0,2017,SP,Cerrado,9/10/2017 17:07,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22142.0,-47.75,2005,SP,Cerrado,8/3/2005 16:45,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22075.0,-47622.0,2013,SP,Cerrado,8/1/2013 17:38,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22092.0,-47616.0,2013,SP,Cerrado,9/12/2013 16:36,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22164.0,-47755.0,2018,SP,Cerrado,4/24/2018 16:55,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22122.0,-47737.0,2020,SP,Cerrado,9/8/2020 16:30,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22114.0,-47646.0,2007,SP,Cerrado,2/16/2007 16:37,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22102.0,-47611.0,2013,SP,Cerrado,7/15/2013 16:55,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22101.0,-47607.0,2013,SP,Cerrado,7/18/2013 17:26,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22079.0,-47613.0,2005,SP,Cerrado,6/17/2005 17:28,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22134.0,-47589.0,2007,SP,Cerrado,5/3/2007 17:01,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22052.0,-47723.0,2009,SP,Cerrado,5/6/2009 17:18,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22049.0,-47625.0,2011,SP,Cerrado,9/8/2011 17:19,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22134.0,-47701.0,2011,SP,Cerrado,5/5/2011 17:07,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22089.0,-47622.0,2013,SP,Cerrado,7/29/2013 17:07,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22.15,-47777.0,2014,SP,Cerrado,1/10/2014 17:26,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22133.0,-47734.0,2019,SP,Cerrado,8/31/2019 17:05,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22116.0,-47733.0,2020,SP,Cerrado,9/8/2020 16:30,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22106.0,-47703.0,2007,SP,Cerrado,6/11/2007 17:07,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22152.0,-47752.0,2008,SP,Cerrado,4/28/2008 16:55,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22073.0,-47745.0,2010,SP,Cerrado,9/23/2010 17:07,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22.1,-47592.0,2011,SP,Cerrado,9/30/2011 16:42,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22098.0,-47578.0,2011,SP,Cerrado,9/30/2011 16:42,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22159.0,-47757.0,2011,SP,Cerrado,2/6/2011 16:18,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22095.0,-47639.0,2013,SP,Cerrado,6/11/2013 17:07,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22072.0,-47645.0,2013,SP,Cerrado,8/2/2013 16:43,1,1,1,1,1,1,1,1,1
3502002,Analândia,-22086.0,-47605.0,2006,SP,Cerrado,7/21/2006 16:48,1,1,1,1,1,1,1,1,1
