id_municipio	nome_municipio	latitude	longitude	ano	sigla_uf	bioma	data_hora
3502002	Analândia	22.1220	47.7370	2020	SP	Cerrado	9/8/2020 16:30
3502002	Analândia	22.1140	47.6460	2007	SP	Cerrado	2/16/2007 16:37
3502002	Analândia	22.1020	47.6110	2013	SP	Cerrado	7/15/2013 16:55
3502002	Analândia	22.1010	47.6070	2013	SP	Cerrado	7/18/2013 17:26
3502002	Analândia	22.0790	47.6130	2005	SP	Cerrado	6/17/2005 17:28
3502002	Analândia	22.1340	47.5890	2007	SP	Cerrado	5/3/2007 17:01
3502002	Analândia	22.0520	47.7230	2009	SP	Cerrado	5/6/2009 17:18
3502002	Analândia	22.0490	47.6250	2011	SP	Cerrado	9/8/2011 17:19
3502002	Analândia	22.1340	47.7010	2011	SP	Cerrado	5/5/2011 17:07
3502002	Analândia	22.0890	47.6220	2013	SP	Cerrado	7/29/2013 17:07
3502002	Analândia	22.15	47.7770	2014	SP	Cerrado	1/10/2014 17:26
3502002	Analândia	22.1330	47.7340	2019	SP	Cerrado	8/31/2019 17:05
3502002	Analândia	22.1160	47.7330	2020	SP	Cerrado	9/8/2020 16:30
3502002	Analândia	22.1060	47.7030	2007	SP	Cerrado	6/11/2007 17:07
3502002	Analândia	22.1520	47.7520	2008	SP	Cerrado	4/28/2008 16:55
3502002	Analândia	22.0730	47.7450	2010	SP	Cerrado	9/23/2010 17:07
3502002	Analândia	22.1	47.5920	2011	SP	Cerrado	9/30/2011 16:42
3502002	Analândia	22.0980	47.5780	2011	SP	Cerrado	9/30/2011 16:42
3502002	Analândia	22.1590	47.7570	2011	SP	Cerrado	2/6/2011 16:18
3502002	Analândia	22.0950	47.6390	2013	SP	Cerrado	6/11/2013 17:07
3502002	Analândia	22.0720	47.6450	2013	SP	Cerrado	8/2/2013 16:43
3502002	Analândia	22.0860	47.6050	2006	SP	Cerrado	7/21/2006 16:48
3502002	Analândia	22.1520	47.6870	2016	SP	Cerrado	10/9/2016 17:06
3502002	Analândia	22.1330	47.7490	2020	SP	Cerrado	4/8/2020 16:35
3502002	Analândia	22.15365	47.55408	2022	SP	Cerrado	7/25/2022 17:17
3502002	Analândia	22.1640	47.6790	2005	SP	Cerrado	8/10/2005 16:51
3502002	Analândia	22.1160	47.6670	2005	SP	Cerrado	8/23/2005 16:20
3502002	Analândia	22.1510	47.6460	2010	SP	Cerrado	10/22/2010 16:37
3502002	Analândia	22.1650	47.6620	2010	SP	Cerrado	10/22/2010 16:37
3502002	Analândia	22.1530	47.7470	2010	SP	Cerrado	12/30/2010 16:55
3502002	Analândia	22.1380	47.7770	2011	SP	Cerrado	7/26/2011 16:54
3502002	Analândia	22.1010	47.6190	2013	SP	Cerrado	7/17/2013 16:43
3502002	Analândia	22.1520	47.7530	2007	SP	Cerrado	6/20/2007 17:01
3502002	Analândia	22.1430	47.7540	2008	SP	Cerrado	9/17/2008 17:09
3502002	Analândia	22.0830	47.7440	2010	SP	Cerrado	9/23/2010 17:07
3502002	Analândia	22.0930	47.6280	2013	SP	Cerrado	6/11/2013 17:07
3502002	Analândia	22.0980	47.6360	2013	SP	Cerrado	4/21/2013 16:37
3502002	Analândia	22.1270	47.7480	2019	SP	Cerrado	4/22/2019 16:35
3502002	Analândia	22.1220	47.7450	2019	SP	Cerrado	4/18/2019 17:00
3502002	Analândia	22.1450	47.7470	2008	SP	Cerrado	5/21/2008 17:01
3502002	Analândia	22.1590	47.74	2011	SP	Cerrado	1/29/2011 17:07
3502002	Analândia	22.1620	47.6540	2016	SP	Cerrado	8/26/2016 16:42
3502002	Analândia	22.1440	47.7640	2008	SP	Cerrado	9/17/2008 17:09
3502002	Analândia	22.0640	47.7290	2011	SP	Cerrado	8/16/2011 17:13
3502002	Analândia	22.1680	47.7510	2011	SP	Cerrado	1/24/2011 16:49
3502002	Analândia	22.0860	47.6190	2013	SP	Cerrado	4/20/2013 17:32
